"user_id","install_date","d1_active","d3_active","d7_active","d14_active"
"1000895",2023-02-06,0,0,0,0
"1000897",2023-02-06,0,0,0,0
"1000901",2023-02-06,0,0,0,0
"1000902",2023-02-06,0,0,0,0
"1000904",2023-02-06,0,0,0,0
"1000905",2023-02-06,0,0,0,0
"1000907",2023-02-06,0,0,0,0
"1000908",2023-02-06,0,0,0,0
"1000914",2023-02-06,0,0,0,0
"1000915",2023-02-06,0,0,0,0
"1000916",2023-02-06,0,0,0,0
"1000918",2023-02-06,0,0,0,0
"1000919",2023-02-06,0,0,0,0
"1000922",2023-02-06,0,0,0,0
"1000923",2023-02-06,0,0,0,0
"1000924",2023-02-06,0,0,0,0
"1000925",2023-02-06,0,0,0,0
"1000927",2023-02-06,0,0,0,0
"1000931",2023-02-06,0,0,0,0
"1000932",2023-02-06,0,0,0,0
"1000933",2023-02-06,0,0,0,0
"1000934",2023-02-06,0,0,0,0
"1000935",2023-02-06,0,0,0,0
"1000936",2023-02-06,0,0,0,0
"1000937",2023-02-06,0,0,0,0
"1000938",2023-02-06,0,0,0,0
"1000939",2023-02-06,0,0,0,0
"1000942",2023-02-06,0,0,0,0
"1000943",2023-02-06,1,0,0,0
"1000945",2023-02-06,0,0,0,0
"1000946",2023-02-06,0,0,0,0
"1000949",2023-02-06,0,0,0,0
"1000950",2023-02-06,1,0,0,0
"1000953",2023-02-06,0,0,0,0
"1000954",2023-02-06,0,0,0,0
"1000956",2023-02-06,0,0,0,0
"1000957",2023-02-06,0,0,0,0
"1000959",2023-02-06,0,0,0,0
"1000961",2023-02-06,0,0,0,0
"1000963",2023-02-06,0,0,0,0
"1000966",2023-02-06,0,0,0,0
"1000967",2023-02-06,0,0,0,0
"1000968",2023-02-06,1,0,0,0
"1000970",2023-02-06,0,0,0,0
"1000971",2023-02-06,0,0,0,0
"1000972",2023-02-06,0,0,0,0
"1000973",2023-02-06,0,0,0,0
"1000974",2023-02-06,0,0,0,0
"1000975",2023-02-06,0,0,0,0
"1000977",2023-02-06,0,0,0,0
"1000980",2023-02-06,0,0,0,0
"1000983",2023-02-06,0,0,0,0
"1000984",2023-02-06,0,0,0,0
"1000987",2023-02-07,0,0,0,0
"1000988",2023-02-07,1,0,0,0
"1000989",2023-02-07,0,0,0,0
"1000990",2023-02-07,0,0,0,0
"1000991",2023-02-07,0,0,0,0
"1000995",2023-02-07,0,0,0,0
"1000996",2023-02-07,0,0,0,0
"1001001",2023-02-07,0,0,0,0
"1001002",2023-02-07,0,0,0,0
"1001003",2023-02-07,0,0,0,0
"1001005",2023-02-07,0,0,0,0
"1001009",2023-02-07,0,0,0,0
"1001011",2023-02-07,0,0,0,0
"1001015",2023-02-07,1,0,0,0
"1001017",2023-02-07,0,0,0,0
"1001020",2023-02-07,0,0,0,0
"1001021",2023-02-07,0,0,0,0
"1001022",2023-02-07,0,0,0,0
"1001024",2023-02-07,0,0,0,0
"1001025",2023-02-07,0,0,0,0
"1001026",2023-02-07,0,0,0,0
"1001027",2023-02-07,0,0,0,0
"1001032",2023-02-07,0,0,0,0
"1001033",2023-02-07,0,0,0,0
"1001034",2023-02-07,1,0,0,0
"1001037",2023-02-07,0,0,0,0
"1001038",2023-02-07,0,0,0,0
"1001039",2023-02-07,0,0,0,0
"1001040",2023-02-07,0,0,0,0
"1001044",2023-02-07,0,0,0,0
"1001045",2023-02-07,0,0,0,0
"1001047",2023-02-07,0,0,0,0
"1001054",2023-02-07,0,0,0,0
"1001055",2023-02-07,0,0,0,0
"1001057",2023-02-07,0,0,0,0
"1001058",2023-02-07,0,0,0,0
"1001067",2023-02-07,0,0,0,0
"1001071",2023-02-07,0,0,0,0
"1001072",2023-02-07,0,0,0,0
"1001073",2023-02-07,0,0,0,0
"1001074",2023-02-07,0,0,0,0
"1001077",2023-02-07,0,0,0,0
"1001080",2023-02-07,0,0,0,0
"1001081",2023-02-07,0,0,0,0
"1001082",2023-02-07,0,0,0,0
"1001084",2023-02-07,0,0,0,0
"1001085",2023-02-07,0,0,0,0
"1001087",2023-02-07,0,0,0,0
"1001089",2023-02-07,0,0,0,0
"1001092",2023-02-07,0,0,0,0
"1001093",2023-02-07,0,0,0,0
"1001099",2023-02-07,0,0,0,0
"1001100",2023-02-07,1,0,0,0
"1001101",2023-02-07,0,0,0,0
"1001102",2023-02-07,0,0,0,0
"1001104",2023-02-07,0,0,0,0
"1001105",2023-02-07,1,0,0,0
"1001106",2023-02-07,0,0,0,0
"1001107",2023-02-07,0,0,0,0
"1001108",2023-02-07,0,0,0,0
"1001109",2023-02-07,0,0,0,0
"1001111",2023-02-07,0,0,0,0
"1001113",2023-02-07,0,0,0,0
"1001115",2023-02-07,0,0,0,0
"1001116",2023-02-07,1,0,0,0
"1001117",2023-02-07,0,0,0,0
"1001118",2023-02-07,0,0,0,0
"1001119",2023-02-07,0,0,0,0
"1001121",2023-02-07,0,0,0,0
"1001122",2023-02-07,0,0,0,0
"1001123",2023-02-07,0,0,0,0
"1001124",2023-02-07,0,0,0,0
"1001125",2023-02-07,0,0,0,0
"1001127",2023-02-07,0,0,0,0
"1001131",2023-02-07,0,0,0,0
"1001132",2023-02-07,0,0,0,0
"1001133",2023-02-07,1,0,0,0
"1001134",2023-02-07,0,0,0,0
"1001135",2023-02-07,0,0,0,0
"1001136",2023-02-07,0,0,0,0
"1001138",2023-02-07,1,0,0,0
"1001139",2023-02-07,0,0,0,0
"1001141",2023-02-07,0,0,0,0
"1001142",2023-02-07,0,0,0,0
"1001144",2023-02-07,0,0,0,0
"1001145",2023-02-07,0,0,0,0
"1001146",2023-02-07,0,0,0,0
"1001147",2023-02-07,0,0,0,0
"1001149",2023-02-07,0,0,0,0
"1001151",2023-02-07,0,0,0,0
